startIp,endIp,continent,countryCode,country,state,city,zip,timezone,isDst,latitude,longitude,accuracy,sources
1.0.238.0,1.0.238.255,AS,TH,Thailand,Loei,Loei,42000,Asia/Jakarta,0,17.49052,101.72749,1.2,tp1
1.0.239.0,1.0.239.255,AS,TH,Thailand,Mukdahan,Mukdahan,49000,Asia/Jakarta,0,16.54531,104.72351,1.2,tp1
1.0.240.0,1.0.240.255,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
1.0.241.0,1.0.241.255,AS,TH,Thailand,Nakhon Si Thammarat,Thung Song,80110,Asia/Jakarta,0,8.16453,99.68039,1.2,tp1
1.0.242.0,1.0.242.255,AS,TH,Thailand,Nakhon Si Thammarat,Ron Phibun,80130,Asia/Jakarta,0,8.17911,99.85425,1.2,tp1
1.0.243.0,1.0.243.255,AS,TH,Thailand,Nakhon Si Thammarat,Nakhon Si Thammarat,80230,Asia/Jakarta,0,8.43333,99.96667,1.2,tp1
1.0.244.0,1.0.244.255,AS,TH,Thailand,Nakhon Si Thammarat,Cha-uat,80180,Asia/Jakarta,0,7.96773,99.99985,1.2,tp1
1.0.245.0,1.0.245.255,AS,TH,Thailand,Nakhon Si Thammarat,Phra Phrom,80230,Asia/Jakarta,0,8.33911,99.90092,1.5,tp1;tp2
1.0.246.0,1.0.246.255,AS,TH,Thailand,Nakhon Si Thammarat,Lan Saka,80230,Asia/Jakarta,0,8.37097,99.80564,1.2,tp1
1.0.247.0,1.0.247.255,AS,TH,Thailand,Phang Nga,Takua Pa,82110,Asia/Jakarta,0,8.8705,98.34383,1.2,tp1
1.0.248.0,1.0.248.255,AS,TH,Thailand,Songkhla,Na Thawi,90160,Asia/Jakarta,0,6.74192,100.69139,1.2,tp1
1.0.249.0,1.0.249.255,AS,TH,Thailand,Songkhla,Hat Yai,90110,Asia/Jakarta,0,7.00836,100.47668,1.2,tp1
1.0.250.0,1.0.250.255,AS,TH,Thailand,Songkhla,Songkhla,90120,Asia/Jakarta,0,7.19882,100.5951,1.2,tp1
1.0.251.0,1.0.251.255,AS,TH,Thailand,Songkhla,Rattaphum,90110,Asia/Jakarta,0,7.13478,100.25647,1.2,tp1
1.0.252.0,1.0.252.255,AS,TH,Thailand,Songkhla,Hat Yai,90110,Asia/Jakarta,0,7.00836,100.477,1.5,tp1;tp2
1.0.253.0,1.0.253.255,AS,TH,Thailand,Songkhla,Khlong Hoi Khong,90110,Asia/Jakarta,0,6.89865,100.389,1.2,tp2
1.0.254.0,1.0.254.255,AS,TH,Thailand,Songkhla,Songkhla,90120,Asia/Jakarta,0,7.19882,100.5951,1.5,tp1;tp2
1.0.255.0,1.0.255.255,AS,TH,Thailand,Songkhla,Rattaphum,90110,Asia/Jakarta,0,7.13478,100.25647,1.2,tp1
1.1.0.0,1.1.0.255,AS,CN,China,Fujian,Fuzhou,350000,Asia/Shanghai,0,26.06139,119.30611,1.2,tp1
1.1.1.0,1.1.1.255,OC,AU,Australia,Queensland,Brisbane,4000,Australia/Brisbane,0,-27.46754,153.02809,1.2,tp1
1.1.2.0,1.1.7.255,AS,CN,China,Fujian,Fuzhou,350000,Asia/Shanghai,0,26.06139,119.30611,1,tp1
1.1.8.0,1.1.8.255,AS,CN,China,Shanghai,Shanghai,202400,Asia/Shanghai,0,31.22433,121.46895,1.2,tp1
1.1.9.0,1.1.63.255,AS,CN,China,Guangdong,Guangzhou,510000,Asia/Shanghai,0,23.12736,113.26457,1.3,tp1;tp2
1.1.64.0,1.1.127.255,AS,JP,Japan,Tokyo,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1,tp1
1.1.128.0,1.1.128.255,AS,TH,Thailand,Loei,Dan Sai,42120,Asia/Jakarta,0,17.28011,101.14686,1.5,tp1;tp2
1.1.129.0,1.1.129.255,AS,TH,Thailand,Sakon Nakhon,Phang Khon,47160,Asia/Jakarta,0,17.3905,103.71692,1.2,tp1
1.1.130.0,1.1.130.255,AS,TH,Thailand,Nakhon Phanom,Ban Phaeng,48140,Asia/Jakarta,0,17.96507,104.21534,1.2,tp1
1.1.131.0,1.1.131.255,AS,TH,Thailand,Nong Bua Lamphu,Nong Bua Lamphu,39000,Asia/Jakarta,0,17.20406,102.44068,1.2,tp1
1.1.132.0,1.1.132.255,AS,TH,Thailand,Nakhon Phanom,Na Wa,48180,Asia/Jakarta,0,17.4897,104.10056,1.2,tp1
1.1.133.0,1.1.133.255,AS,TH,Thailand,Nong Bua Lamphu,Nong Bua Lamphu,39000,Asia/Jakarta,0,17.20406,102.44068,1.5,tp1;tp2
1.1.134.0,1.1.134.255,AS,TH,Thailand,Loei,Loei,42000,Asia/Jakarta,0,17.49052,101.72749,1.2,tp1
1.1.135.0,1.1.135.255,AS,TH,Thailand,Roi Et,Nong Hi,45140,Asia/Jakarta,0,15.61117,103.99484,1.2,tp1
1.1.136.0,1.1.136.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
1.1.137.0,1.1.137.255,AS,TH,Thailand,Nong Khai,Pakkhat,16150,Asia/Jakarta,0,18.2987,103.314,1.2,tp1
1.1.138.0,1.1.139.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.1,tp1
1.1.140.0,1.1.140.255,AS,TH,Thailand,Yala,Yala,95000,Asia/Jakarta,0,6.53995,101.28128,1.2,tp1
1.1.141.0,1.1.141.255,AS,TH,Thailand,Chon Buri,Sattahip,20180,Asia/Jakarta,0,12.66644,100.90073,1.5,tp1;tp2
1.1.142.0,1.1.151.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1,tp1
1.1.152.0,1.1.152.255,AS,TH,Thailand,Chumphon,Sawi,86130,Asia/Jakarta,0,10.23683,99.10958,1.2,tp1
1.1.153.0,1.1.153.255,AS,TH,Thailand,Nakhon Si Thammarat,Cha-uat,80180,Asia/Jakarta,0,7.96773,99.99985,1.2,tp1
1.1.154.0,1.1.154.255,AS,TH,Thailand,Chumphon,Chumphon,86140,Asia/Jakarta,0,10.4957,99.1797,1.2,tp2
1.1.155.0,1.1.155.255,AS,TH,Thailand,Phang Nga,Phang Nga,82130,Asia/Jakarta,0,8.45091,98.5298,1.2,tp2
1.1.156.0,1.1.156.255,AS,TH,Thailand,Chumphon,Chumphon,86140,Asia/Jakarta,0,10.5,99.16667,1.2,tp1
1.1.157.0,1.1.157.255,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
1.1.158.0,1.1.158.255,AS,TH,Thailand,Nakhon Si Thammarat,Tham Phannara,80150,Asia/Jakarta,0,8.42044,99.39517,1.2,tp1
1.1.159.0,1.1.159.255,AS,TH,Thailand,Surat Thani,Ko Samui,84140,Asia/Jakarta,0,9.53567,99.93567,1.5,tp1;tp2
1.1.160.0,1.1.160.255,AS,TH,Thailand,Mae Hong Son,Wiang Nuea,58130,Asia/Jakarta,0,19.37972,98.44644,1.2,tp1
1.1.161.0,1.1.161.255,AS,TH,Thailand,Chiang Mai,Chiang Mai,50000,Asia/Jakarta,0,18.79069,98.98468,1.2,tp1
1.1.162.0,1.1.162.255,AS,TH,Thailand,Phrae,Nong Muang Khai,54000,Asia/Jakarta,0,18.26397,100.18911,1.5,tp1;tp2
1.1.163.0,1.1.163.255,AS,TH,Thailand,Chiang Rai,Wiang Pa Pao,57170,Asia/Jakarta,0,19.34778,99.50772,1.2,tp1
1.1.164.0,1.1.164.255,AS,TH,Thailand,Chiang Rai,Chiang Rai,57000,Asia/Jakarta,0,19.90858,99.8325,1.5,tp1;tp2
1.1.165.0,1.1.165.255,AS,TH,Thailand,Chiang Mai,Chiang Dao,50170,Asia/Jakarta,0,19.36542,98.96453,1.2,tp1
1.1.166.0,1.1.166.255,AS,TH,Thailand,Phrae,Phrae,54000,Asia/Jakarta,0,18.14589,100.14103,1.2,tp1
1.1.167.0,1.1.167.255,AS,TH,Thailand,Nan,Nan,55000,Asia/Jakarta,0,18.79292,100.72972,1.2,tp1
1.1.168.0,1.1.168.255,AS,TH,Thailand,Chiang Rai,Chiang Saen,57110,Asia/Jakarta,0,20.27511,100.08689,1.2,tp1
1.1.169.0,1.1.169.255,AS,TH,Thailand,Chiang Mai,Chiang Mai,50000,Asia/Jakarta,0,18.79069,98.98468,1.2,tp1
1.1.170.0,1.1.170.255,AS,TH,Thailand,Chiang Rai,Khun Tan,57160,Asia/Jakarta,0,19.83353,100.25858,1.2,tp1
1.1.171.0,1.1.171.255,AS,TH,Thailand,Phrae,Phrae,54000,Asia/Jakarta,0,18.14589,100.14103,1.2,tp1
1.1.172.0,1.1.172.255,AS,TH,Thailand,Mae Hong Son,Mae Hong Son,58000,Asia/Jakarta,0,19.30029,97.96852,1.5,tp1;tp2
1.1.173.0,1.1.173.255,AS,TH,Thailand,Chiang Mai,Chiang Mai,50000,Asia/Jakarta,0,18.79069,98.98468,1.5,tp1;tp2
1.1.174.0,1.1.174.255,AS,TH,Thailand,Chiang Rai,Chiang Rai,57000,Asia/Jakarta,0,19.90858,99.8325,1.5,tp1;tp2
1.1.175.0,1.1.175.255,AS,TH,Thailand,Chiang Rai,Wiang Pa Pao,57170,Asia/Jakarta,0,19.34778,99.50772,1.5,tp1;tp2
1.1.176.0,1.1.176.255,AS,TH,Thailand,Bangkok,Pathum Wan,10500,Asia/Jakarta,0,13.737,100.523,1.5,tp1;tp2
1.1.177.0,1.1.177.255,AS,TH,Thailand,Bangkok,Lak Si,10220,Asia/Jakarta,0,13.8983,100.582,1.2,tp2
