startIp,endIp,ipVersion,serviceName,serviceUrl
185.128.9.0,185.128.9.255,4,NordVPN,https://nordvpn.com
151.106.8.32,151.106.8.47,4,CyberGhostVPN,https://cyberghostvpn.com
45.10.152.0,45.10.159.255,4,NordVPN,https://nordvpn.com
92.119.19.48,92.119.19.55,4,Surfshark,https://surfshark.com
84.239.10.128,84.239.10.255,4,Private Internet Access,https://privateinternetaccess.com
45.144.115.48,45.144.115.55,4,Surfshark,https://surfshark.com
5.62.60.36,5.62.60.39,4,Hide My Ass VPN,https://hidemyass.com
176.100.43.0,176.100.43.127,4,NordVPN,https://nordvpn.com
176.67.80.0,176.67.87.255,4,IPVanish,https://ipvanish.com
5.62.63.0,5.62.63.3,4,Hide My Ass VPN,https://hidemyass.com
102.165.16.0,102.165.16.255,4,Private Internet Access,https://privateinternetaccess.com
153.92.40.0,153.92.40.127,4,NordVPN,https://nordvpn.com
5.62.60.52,5.62.60.55,4,Hide My Ass VPN,https://hidemyass.com
91.148.239.0,91.148.239.15,4,Privado,https://privado.com
45.136.155.0,45.136.155.255,4,Shared VPN Network with 4 known VPN providers,
193.228.206.128,193.228.206.255,4,NordVPN,https://nordvpn.com
188.126.89.96,188.126.89.127,4,CyberGhostVPN,https://cyberghostvpn.com
79.127.132.0,79.127.132.255,4,Shared VPN Network with 2 known VPN providers,
91.196.220.0,91.196.223.255,4,NordVPN,https://nordvpn.com
185.246.208.0,185.246.211.255,4,Shared VPN Network with 6 known VPN providers,
217.64.126.64,217.64.126.71,4,TunnelBear,https://tunnelbear.com
45.95.243.0,45.95.243.255,4,ExpressVPN,https://expressvpn.com
185.150.118.168,185.150.118.175,4,VPN.ac,https://vpn.ac
144.48.38.0,144.48.38.255,4,Shared VPN Network with 3 known VPN providers,
94.156.206.0,94.156.207.255,4,NordVPN,https://nordvpn.com
194.35.232.0,194.35.232.255,4,NordVPN,https://nordvpn.com
78.110.160.4,78.110.160.7,4,VPN Unlimited,https://vpnunlimitedapp.com
143.244.48.0,143.244.51.255,4,Shared VPN Network with 3 known VPN providers,
185.197.248.0,185.197.251.255,4,NordVPN,https://nordvpn.com
185.108.105.0,185.108.105.255,4,Shared VPN Network with 2 known VPN providers,
103.107.197.0,103.107.197.255,4,Shared VPN Network with 5 known VPN providers,
138.199.12.0,138.199.12.255,4,Shared VPN Network with 2 known VPN providers,
5.62.63.20,5.62.63.23,4,Hide My Ass VPN,https://hidemyass.com
95.173.223.0,95.173.223.255,4,Shared VPN Network with 3 known VPN providers,
185.245.82.48,185.245.82.55,4,Surfshark,https://surfshark.com
82.149.72.0,82.149.83.255,4,NordVPN,https://nordvpn.com
185.153.176.0,185.153.179.255,4,NordVPN,https://nordvpn.com
91.148.238.208,91.148.238.223,4,Privado,https://privado.com
5.62.56.232,5.62.56.235,4,Hide My Ass VPN,https://hidemyass.com
45.86.202.0,45.86.202.255,4,ExpressVPN,https://expressvpn.com
5.62.61.180,5.62.61.183,4,Hide My Ass VPN,https://hidemyass.com
108.171.102.0,108.171.102.255,4,IPVanish,https://ipvanish.com
