startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,lastSeenStr,exitNodeRegion,hostname,countryCode,cityName,latitude,longitude
191.101.157.38,191.101.157.38,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1761230810595,2025-10-23T14:46:50.595Z,,de-berlin.privacy.network,,,,
45.133.6.84,45.133.6.84,4,ExpressVPN,https://expressvpn.com,exit_node,1761102877219,2025-10-22T03:14:37.219Z,Australia - Perth,,AU,Perth,-31.95224,115.8614
194.32.122.6,194.32.122.6,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119049,2025-10-24T14:11:59.049Z,Lithuania,,,,,
185.216.74.184,185.216.74.184,4,NordVPN,https://nordvpn.com,vpn_server,1761230810594,2025-10-23T14:46:50.594Z,"Los Angeles, United States",us9279.nordvpn.com,,,,
149.102.227.114,149.102.227.114,4,Surfshark,https://surfshark.com,exit_node,1759922457100,2025-10-08T11:20:57.100Z,us-ash.prod.surfshark.com_udp.ovpn,,US,ashburn,39.04372,-77.48749
191.96.36.92,191.96.36.92,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1757034439953,2025-09-05T01:07:19.953Z,ca_toronto,,CA,,,
173.239.247.47,173.239.247.47,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119065,2025-10-24T14:11:59.065Z,Vietnam,,,,,
194.107.162.111,194.107.162.111,4,NordVPN,https://nordvpn.com,exit_node,1757999051103,2025-09-16T05:04:11.103Z,Australia #920,,AU,Brisbane,-27.47101,153.024292
139.59.128.179,139.59.128.179,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352053,2025-10-24T17:52:32.053Z,,,,,,
2001:ac8:23:a9:e3ec:2305:d90f:3ae5,2001:ac8:23:a9:e3ec:2305:d90f:3ae5,6,AirVPN,https://airvpn.org,vpn_server,1761315178622,2025-10-24T14:12:58.622Z,"Madrid, Spain",,,,,
45.129.35.191,45.129.35.191,4,NordVPN,https://nordvpn.com,exit_node,1758698044380,2025-09-24T07:14:04.380Z,Germany #1059,,DE,Frankfurt,50.116667,8.683333
