ipVersion,startIp,endIp,datacenter,domain
6,2a0a:4940:d1a3:0:0:0:0:0,2a0a:4940:d1a3:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a01:4f8:161:510e:0:0:0:0,2a01:4f8:161:510e:ffff:ffff:ffff:ffff,Timme Hosting GmbH & Co. KG,hetzner.com
6,2a0a:4940:1b8d:0:0:0:0:0,2a0a:4940:1b8d:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:ea9:0:0:0:0:0,2a0a:4940:ea9:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:a968:0:0:0:0:0,2a0a:4940:a968:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:8794:0:0:0:0:0,2a0a:4940:8794:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:81db:0:0:0:0:0,2a0a:4940:81db:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a10:9200:0:0:0:0:0:0,2a10:9200:0:ffff:ffff:ffff:ffff:ffff,Cloud assets LLC,macloud.ru
6,2a0a:4940:7b3c:0:0:0:0:0,2a0a:4940:7b3c:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:57dc:0:0:0:0:0,2a0a:4940:57dc:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:7814:0:0:0:0:0,2a0a:4940:7814:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:114b:0:0:0:0:0,2a0a:4940:114b:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:9c24:0:0:0:0:0,2a0a:4940:9c24:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:867c:0:0:0:0:0,2a0a:4940:867c:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2407:27c0:0:0:0:0:0:0,2407:27c0:0:ffff:ffff:ffff:ffff:ffff,BKHOST TECHNOLOGY VIETNAM JOINT STOCK COMPANY,bkhost.com.vn
6,2406:28c0:0:0:0:0:0:0,2406:28c0:ffff:ffff:ffff:ffff:ffff:ffff,USDC TECHNOLOGY JSC,usdc.vn
